ASF Name,Total_calls,Avg_time_taken,Rank
LAVISHA ENTERPRISES,12,4.333333333333333,154
MN Tech,12,7.916666666666667,155
URBAN TRADERS,12,3.75,156
AIR COOL AIR-CONDITION AND REFR. SERVICE CENTRE,13,30.923076923076923,157
M.S.ELECTRONICS,13,9.461538461538462,158
BUTA ELECTRONIC,14,13.428571428571429,159
Ishan Services,14,30.714285714285715,160
JAGANNATH ELECTRONICS,14,3.0714285714285716,161
ACCESS SUPPORT LLP,15,34.666666666666664,162
Anupa Aircon,15,4.8,163
Friends Care,15,518.7333333333333,164
SRI SURYA JI ENTERPRISES,15,5.8,165
Akash Enterprises,16,4.625,166
IMAGE ELECTRONICS,16,6.0625,167
Ishanvi Services,16,11.5,168
M/s. Tele Clinic,16,14.0,169
Shreya Infotech,16,11.875,170
Teknodome India Pvt Ltd ( Hubli),16,16.4375,171
SONI HOME SERVICE,17,15.352941176470589,172
VN SOLUTION,17,5.176470588235294,173
AKSHIT ENTERPRISES,18,2.5,174
MADHINA Refrigeration,18,5.333333333333333,175
RADHE ENTERPRISE,18,14.722222222222221,176
VIVIDH SEWA KENDRA,18,11.777777777777779,177
System Solution Electronics,19,7.578947368421052,178
PERFECT ELECTRONICS,20,13.8,179
BALDEV ELECTRONICS,21,12.857142857142858,180
GDB ENTERPRICES,21,7.142857142857143,181
IT SERVICE POINT,21,5.238095238095238,182
Jignesh Technology,21,19.666666666666668,183
MARS COMMUNICATION,21,11.761904761904763,184
MUNNA ELECTRONICS,21,6.380952380952381,185
SRI SAI ELECTRONICS,22,8.0,186
EVERYHOUR ELECTRICAL SOLUTION & TRADING,23,5.086956521739131,187
M/S Rishika Enterprises,23,20.73913043478261,188
Phoenix Tronix,23,4.3478260869565215,189
Varsha Enterprises,23,12.217391304347826,190
Vishnu Electronics,23,6.043478260869565,191
Cool Point Services,24,0.5833333333333334,192
NAAIRAH ENTERPRISES,25,4.44,193
NILAWAR ALLIANCE PRIVATE LIMITED,25,10.6,194
Raza Service Centre,25,3.12,195
SN ENTERPRISES ,26,7.461538461538462,196
Sri Sai Enterprises,26,11.923076923076923,197
Zenith Services,26,5.230769230769231,198
B. Tech Solution,27,5.777777777777778,199
Lakshit Enterprises,27,5.592592592592593,200
Sai G Computers,27,5.7407407407407405,201
Suryan Coolers,27,6.555555555555555,202
V.R CUSTOMER CARE,27,4.925925925925926,203
OM Sai Refrigeration & Electrical Services,28,11.25,204
